Name | Torrent | Magnet | Size | Date | Up | Donw | Overall
[Leopard-Raws] Fate - Stay Night - Unlimited Blade Works (2015) (BS11 1280x720 x264 AAC) | https://nyaa.si/download/705723.torrent | magnet:?xt=urn:btih:ebdbcf628558f16e00638bac3a274980003c565f&amp;dn=%5BLeopard-Raws%5D%20Fate%20-%20Stay%20Night%20-%20Unlimited%20Blade%20Works%20%282015%29%20%28BS11%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 6.0 GiB | 2015-06-27 12:52 | 3 | 2 | 5203
[Leopard-Raws] Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka (MX 1280x720 x264 AAC) | https://nyaa.si/download/705275.torrent | magnet:?xt=urn:btih:5468d0c7a0eb60ca55317d1a5536b810c1024c8f&amp;dn=%5BLeopard-Raws%5D%20Dungeon%20ni%20Deai%20o%20Motomeru%20no%20wa%20Machigatte%20Iru%20Darouka%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 5.5 GiB | 2015-06-26 13:24 | 3 | 0 | 5092
[Leopard-Raws] Kono Subarashii Sekai ni Shukufuku o! (SUN 1280x720 x264 AAC) | https://nyaa.si/download/794340.torrent | magnet:?xt=urn:btih:3179ab3b6018cb4a95ef8f07ec3a3fce60a90309&amp;dn=%5BLeopard-Raws%5D%20Kono%20Subarashii%20Sekai%20ni%20Shukufuku%20o%21%20%28SUN%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.9 GiB | 2016-03-16 14:02 | 2 | 4 | 5044
[Leopard-Raws] Sword Art Online II (TVS 1280x720 x264 AAC) | https://nyaa.si/download/637044.torrent | magnet:?xt=urn:btih:932a20b7fa5beede1e9bcd4e76990dfc26a6b47b&amp;dn=%5BLeopard-Raws%5D%20Sword%20Art%20Online%20II%20%28TVS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 10.9 GiB | 2014-12-21 05:00 | 4 | 2 | 4684
[Leopard-Raws] Fate - Stay Night - Unlimited Blade Works (BS11 1280x720 x264 AAC) | https://nyaa.si/download/639519.torrent | magnet:?xt=urn:btih:9541121eebba3042e9ac372739ad61cb972f5e2e&amp;dn=%5BLeopard-Raws%5D%20Fate%20-%20Stay%20Night%20-%20Unlimited%20Blade%20Works%20%28BS11%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 5.1 GiB | 2014-12-28 05:40 | 2 | 1 | 4618
[Leopard-Raws] JoJo no Kimyou na Bouken - Stardust Crusaders - Egypt Hen (MBS 1280x720 x264 AAC) | https://nyaa.si/download/704472.torrent | magnet:?xt=urn:btih:1bb3d875b51b8b127d71beb195a9f22e47182b24&amp;dn=%5BLeopard-Raws%5D%20JoJo%20no%20Kimyou%20na%20Bouken%20-%20Stardust%20Crusaders%20-%20Egypt%20Hen%20%28MBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 12.9 GiB | 2015-06-24 01:21 | 6 | 3 | 4334
[Leopard-Raws] JoJo no Kimyou na Bouken - Stardust Crusaders (MX 1280x720 x264 AAC) | https://nyaa.si/download/597223.torrent | magnet:?xt=urn:btih:81f99cf5af26697658b586cf125db1eabf99283c&amp;dn=%5BLeopard-Raws%5D%20JoJo%20no%20Kimyou%20na%20Bouken%20-%20Stardust%20Crusaders%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 13.0 GiB | 2014-09-13 17:56 | 8 | 2 | 3711
[Leopard-Raws] Nisemonogatari (MX 1280x720 x264 AAC) | https://nyaa.si/download/927483.torrent | magnet:?xt=urn:btih:d1b41a15cff600956851911dea09c0525d7e3b1f&amp;dn=%5BLeopard-Raws%5D%20Nisemonogatari%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.6 GiB | 2017-05-31 07:44 | 3 | 1 | 3688
[Leopard-Raws] Yuuki Yuuna wa Yuusha de Aru (TBS 1280x720 x264 AAC) | https://nyaa.si/download/639163.torrent | magnet:?xt=urn:btih:a7e31051f53782675bf3d2995bc6f74a1625f19e&amp;dn=%5BLeopard-Raws%5D%20Yuuki%20Yuuna%20wa%20Yuusha%20de%20Aru%20%28TBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.6 GiB | 2014-12-27 09:11 | 1 | 0 | 3587
[Leopard-Raws] Sword Art Online (MX 1280x720 x264 AAC) | https://nyaa.si/download/387375.torrent | magnet:?xt=urn:btih:b0ba83df0b03c15ea66bda54ccbe20e3e1cc5a0d&amp;dn=%5BLeopard-Raws%5D%20Sword%20Art%20Online%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 8.1 GiB | 2012-12-27 11:55 | 5 | 0 | 3515
