Name | Torrent | Magnet | Size | Date | Up | Donw | Overall
[Ohys-Raws] Shingeki no Kyojin Season 2 (MX 1280x720 x264 AAC)|https://nyaa.si/download/931502.torrent| magnet:?xt=urn:btih:8352635f641a3ad4d381bccb8f8681fca6ef56b9&amp;dn=%5BOhys-Raws%5D%20Shingeki%20no%20Kyojin%20Season%202%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 7.0 GiB | 2017-06-17 14:04 | 10 | 3 | 57380
[Ohys-Raws] Overlord II (AT-X 1280x720 x264 AAC)|https://nyaa.si/download/1022795.torrent| magnet:?xt=urn:btih:54df1b08dd7b00c99bc5ddfd9f31e0780adb092c&amp;dn=%5BOhys-Raws%5D%20Overlord%20II%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.2 GiB | 2018-04-03 14:24 | 11 | 4 | 31449
[Ohys-Raws] Shingeki no Kyojin Season 3 (NHKG 1280x720 x264 AAC)|https://nyaa.si/download/1084616.torrent| magnet:?xt=urn:btih:3b7d55c64be73f88076c1ad2ff8ec704fea5425f&amp;dn=%5BOhys-Raws%5D%20Shingeki%20no%20Kyojin%20Season%203%20%28NHKG%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 5.1 GiB | 2018-10-15 10:30 | 27 | 5 | 29663
[Ohys-Raws] Kakegurui (MX 1280x720 x264 AAC)|https://nyaa.si/download/961838.torrent| magnet:?xt=urn:btih:00e06e3eaebe01e2b982ff0cbe7f68f5735f7a8e&amp;dn=%5BOhys-Raws%5D%20Kakegurui%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.5 GiB | 2017-09-23 13:55 | 13 | 2 | 28138
[Ohys-Raws] Roku de Nashi Majutsu Koushi to Akashic Records (AT-X 1280x720 x264 AAC)|https://nyaa.si/download/932227.torrent| magnet:?xt=urn:btih:a5f5f4b6251028012b23b3d89b7f7259a0025b45&amp;dn=%5BOhys-Raws%5D%20Roku%20de%20Nashi%20Majutsu%20Koushi%20to%20Akashic%20Records%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.9 GiB | 2017-06-20 12:08 | 5 | 1 | 27570
[Ohys-Raws] Violet Evergarden (MX 1280x720 x264 AAC)|https://nyaa.si/download/1023200.torrent| magnet:?xt=urn:btih:8cf00b2afa5c0270dd561b57bb2bf47407f50def&amp;dn=%5BOhys-Raws%5D%20Violet%20Evergarden%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.7 GiB | 2018-04-04 16:02 | 16 | 2 | 27133
[Ohys-Raws] Eromanga Sensei (BS11 1280x720 x264 AAC)|https://nyaa.si/download/933354.torrent| magnet:?xt=urn:btih:cce25d1e354151732f7364b86d42e647ed225b8c&amp;dn=%5BOhys-Raws%5D%20Eromanga%20Sensei%20%28BS11%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 2.9 GiB | 2017-06-24 16:06 | 3 | 0 | 25524
[Ohys-Raws] Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka Gaiden Sword Oratoria (BS11 1280x720 x264 AAC)|https://nyaa.si/download/934740.torrent| magnet:?xt=urn:btih:ae5e84d91a3276dc360dd0128a29071361e25856&amp;dn=%5BOhys-Raws%5D%20Dungeon%20ni%20Deai%20o%20Motomeru%20no%20wa%20Machigatte%20Iru%20Darouka%20Gaiden%20Sword%20Oratoria%20%28BS11%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.5 GiB | 2017-06-30 16:08 | 3 | 4 | 25418
[Ohys-Raws] Kimetsu no Yaiba (BS11 1280x720 x264 AAC)|https://nyaa.si/download/1179649.torrent| magnet:?xt=urn:btih:60839f69f0386d4cf787996b34e60c89d5ff7f85&amp;dn=%5BOhys-Raws%5D%20Kimetsu%20no%20Yaiba%20%28BS11%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 10.3 GiB | 2019-09-28 15:08 | 76 | 14 | 23850
[Ohys-Raws] Made in Abyss (AT-X 1280x720 x264 AAC)|https://nyaa.si/download/963688.torrent| magnet:?xt=urn:btih:14d1127bff553916aa8c691e2ada0158ceb58f50&amp;dn=%5BOhys-Raws%5D%20Made%20in%20Abyss%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.7 GiB | 2017-09-29 13:37 | 5 | 1 | 22264
