NAME,TorrentURL,Magnet
[Leopard-Raws] Katsute Kami Datta Kemono-tachi e - 08 RAW (BS11 1280x720 x264 AAC).mp4,/download/1171505.torrent,magnet:?xt=urn:btih:ec1281776c1b8065c1217e2e1af204b59ab0c76e&dn=%5BLeopard-Raws%5D%20Katsute%20Kami%20Datta%20Kemono-tachi%20e%20-%2008%20RAW%20%28BS11%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Karakai Jouzu no Takagi-san 2 - 07 RAW (ATX 1280x720 x264 AAC).mp4,/download/1171504.torrent,magnet:?xt=urn:btih:7ca648d0594bd8c5b1afbbe7a77990ba279c9bb9&dn=%5BLeopard-Raws%5D%20Karakai%20Jouzu%20no%20Takagi-san%202%20-%2007%20RAW%20%28ATX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] High School Star Musical 3 - 08 RAW (BS11 1280x720 x264 AAC).mp4,/download/1171503.torrent,magnet:?xt=urn:btih:a09158b8be040c1aa3ff7b8cb1f99f20b8e9b4f7&dn=%5BLeopard-Raws%5D%20High%20School%20Star%20Musical%203%20-%2008%20RAW%20%28BS11%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Fairy Tail (2018) - 45 RAW (TX 1280x720 x264 AAC).mp4,/download/1171502.torrent,magnet:?xt=urn:btih:6609f70f50ca857ed35527edc2bf756ebee23fc8&dn=%5BLeopard-Raws%5D%20Fairy%20Tail%20%282018%29%20-%2045%20RAW%20%28TX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Ensemble Stars! - 07 RAW (MX 1280x720 x264 AAC).mp4,/download/1171501.torrent,magnet:?xt=urn:btih:38819bd55a5a8f58f658a3bf7f2ee4f448a49db3&dn=%5BLeopard-Raws%5D%20Ensemble%20Stars%21%20-%2007%20RAW%20%28MX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Duel Masters!! - 20 RAW (TX 1280x720 x264 AAC).mp4,/download/1171500.torrent,magnet:?xt=urn:btih:f44c6f6171b25c78d39b76dc0a23f1c3f41acf55&dn=%5BLeopard-Raws%5D%20Duel%20Masters%21%21%20-%2020%20RAW%20%28TX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Dia no Ace： Third Season - 21 RAW (TX 1280x720 x264 AAC).mp4,/download/1171499.torrent,magnet:?xt=urn:btih:0d1fb680a91e10c5c9bffb43f5a18b57cc7d532a&dn=%5BLeopard-Raws%5D%20Dia%20no%20Ace%EF%BC%9A%20Third%20Season%20-%2021%20RAW%20%28TX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Cop Craft - 07 RAW (BS11 1280x720 x264 AAC).mp4,/download/1171498.torrent,magnet:?xt=urn:btih:c708b580879bc9eb2e85a8759c01991b44014d82&dn=%5BLeopard-Raws%5D%20Cop%20Craft%20-%2007%20RAW%20%28BS11%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Cardfight!! Vanguard： Zoku Koukousei Hen - 15 RAW (BSTX 1280x720 x264 AAC).mp4,/download/1171497.torrent,magnet:?xt=urn:btih:04fd2b12e634ac4647d6194ae57df68a2f90677e&dn=%5BLeopard-Raws%5D%20Cardfight%21%21%20Vanguard%EF%BC%9A%20Zoku%20Koukousei%20Hen%20-%2015%20RAW%20%28BSTX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Boruto - 120 RAW (TX 1280x720 x264 AAC).mp4,/download/1171496.torrent,magnet:?xt=urn:btih:fb1f04ea16c9e2b8fa7625a8b1806a8d77209433&dn=%5BLeopard-Raws%5D%20Boruto%20-%20120%20RAW%20%28TX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Black Clover (2017) - 97 RAW (TX 1280x720 x264 AAC).mp4,/download/1171495.torrent,magnet:?xt=urn:btih:4debdb20e5c0f67162a4e15a792ffc29185ce175&dn=%5BLeopard-Raws%5D%20Black%20Clover%20%282017%29%20-%2097%20RAW%20%28TX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Bem - 04 RAW (TX 1280x720 x264 AAC).mp4,/download/1171494.torrent,magnet:?xt=urn:btih:2a4118db22e43f7134eac4303003aef9fa7d2921&dn=%5BLeopard-Raws%5D%20Bem%20-%2004%20RAW%20%28TX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
