URL,title
/dirlist.php?dir=subtitles%2Fjapanese%2F.hack+G.U%2F,.hack G.U
/dirlist.php?dir=subtitles%2Fjapanese%2F3-gatsu+no+Lion%2F,3-gatsu no Lion
/dirlist.php?dir=subtitles%2Fjapanese%2F5-toubun+no+Hanayome%2F,5-toubun no Hanayome
/dirlist.php?dir=subtitles%2Fjapanese%2F5-tou+ni+Naritai%2F,5-tou ni Naritai
/dirlist.php?dir=subtitles%2Fjapanese%2F7+Seeds%2F,7 Seeds
/dirlist.php?dir=subtitles%2Fjapanese%2F07-Ghost%2F,07-Ghost
/dirlist.php?dir=subtitles%2Fjapanese%2F7SEEDS%2F,7SEEDS
/dirlist.php?dir=subtitles%2Fjapanese%2F11eyes%2F,11eyes
/dirlist.php?dir=subtitles%2Fjapanese%2F91+Days%2F,91 Days
/dirlist.php?dir=subtitles%2Fjapanese%2FA.I.C.O.+Incarnation%2F,A.I.C.O. Incarnation
/dirlist.php?dir=subtitles%2Fjapanese%2FAa%21+Megami-sama%21%2F,Aa! Megami-sama!
/dirlist.php?dir=subtitles%2Fjapanese%2FAbsolute+Duo%2F,Absolute Duo
/dirlist.php?dir=subtitles%2Fjapanese%2Facca%2F,acca
/dirlist.php?dir=subtitles%2Fjapanese%2FAccel+World%2F,Accel World
/dirlist.php?dir=subtitles%2Fjapanese%2FAcchi_Kocchi%2F,Acchi Kocchi
/dirlist.php?dir=subtitles%2Fjapanese%2FAce+of+Diamond+Act+II%2F,Ace of Diamond Act II
/dirlist.php?dir=subtitles%2Fjapanese%2FAce_Of_Diamond%2F,Ace Of Diamond
/dirlist.php?dir=subtitles%2Fjapanese%2FA+Channel%2F,A Channel
/dirlist.php?dir=subtitles%2Fjapanese%2FAggretsuko%2F,Aggretsuko
/dirlist.php?dir=subtitles%2Fjapanese%2FAho+Girl%2F,Aho Girl
/dirlist.php?dir=subtitles%2Fjapanese%2FAikatsu%21%2F,Aikatsu!
/dirlist.php?dir=subtitles%2Fjapanese%2FAikatsu+Friends%2F,Aikatsu Friends
/dirlist.php?dir=subtitles%2Fjapanese%2FAir%2F,Air
/dirlist.php?dir=subtitles%2Fjapanese%2FAi_Shite_Knight%2F,Ai Shite Knight
/dirlist.php?dir=subtitles%2Fjapanese%2FAjin%2F,Ajin
/dirlist.php?dir=subtitles%2Fjapanese%2FAjin+S2%2F,Ajin S2
/dirlist.php?dir=subtitles%2Fjapanese%2FAkagami+no+Shirayukihime%2F,Akagami no Shirayukihime
/dirlist.php?dir=subtitles%2Fjapanese%2FAkage+no+Anne%2F,Akage no Anne
/dirlist.php?dir=subtitles%2Fjapanese%2FAkame+ga+Kill%2F,Akame ga Kill
/dirlist.php?dir=subtitles%2Fjapanese%2FAkane-iro+ni+Somaru+Saka%2F,Akane-iro ni Somaru Saka
/dirlist.php?dir=subtitles%2Fjapanese%2FAkanesasu+Shoujo%2F,Akanesasu Shoujo
/dirlist.php?dir=subtitles%2Fjapanese%2FAkatsuki+no+Yona%2F,Akatsuki no Yona
/dirlist.php?dir=subtitles%2Fjapanese%2FAkira%2F,Akira
/dirlist.php?dir=subtitles%2Fjapanese%2FAkuma-kun%2F,Akuma-kun
/dirlist.php?dir=subtitles%2Fjapanese%2FAkumaizer_3%2F,Akumaizer 3
/dirlist.php?dir=subtitles%2Fjapanese%2FAkuma+no+Riddle%2F,Akuma no Riddle
/dirlist.php?dir=subtitles%2Fjapanese%2FAkuma_No_Ridoru%2F,Akuma No Ridoru
/dirlist.php?dir=subtitles%2Fjapanese%2FAku+no+Hana%2F,Aku no Hana
/dirlist.php?dir=subtitles%2Fjapanese%2FAldnoah+Zero%2F,Aldnoah Zero
/dirlist.php?dir=subtitles%2Fjapanese%2FA+Letter+to+Momo%2F,A Letter to Momo
/dirlist.php?dir=subtitles%2Fjapanese%2FAmaama+to+Inazuma%2F,Amaama to Inazuma
