Name, Torrent, Magnet, Size, Date, Up, Donw, Overall
[SOFCJ-Raws] Shingeki no Kyojin Season 2 (MBS 1280x720 x264 AAC), https://nyaa.si/download/931702.torrent, magnet:?xt=urn:btih:5099ac6edb4b85b9c8b64886ec9018a41514bfbd&amp;dn=%5BSOFCJ-Raws%5D%20Shingeki%20no%20Kyojin%20Season%202%20%28MBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 9.7 GiB, 2017-06-18 06:00, 0, 0, 5915
[SOFCJ-Raws] Dragon Ball Super (THK 1280x720 x264 AAC) [Batch], https://nyaa.si/download/1019282.torrent, magnet:?xt=urn:btih:0c27549f2ca7a032b7067a01d6d1c0020787a880&amp;dn=%5BSOFCJ-Raws%5D%20Dragon%20Ball%20Super%20%28THK%201280x720%20x264%20AAC%29%20%5BBatch%5D&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 64.1 GiB, 2018-03-25 08:45, 14, 7, 5596
[SOFCJ-Raws] Kingdom 2 (BSP 1280x720 x264 AAC), https://nyaa.si/download/528008.torrent, magnet:?xt=urn:btih:8685141d1e25a6ea4fa0ecc372d09b81a338d6e2&amp;dn=%5BSOFCJ-Raws%5D%20Kingdom%202%20%28BSP%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 15.5 GiB, 2014-03-01 10:36, 16, 7, 3153
[SOFCJ-Raws] Dragon Ball Super (CX 1280x720 x264 AAC), https://nyaa.si/download/1019297.torrent, magnet:?xt=urn:btih:18f388c39fafce9f1d268bcc06fcbd815b1446c1&amp;dn=%5BSOFCJ-Raws%5D%20Dragon%20Ball%20Super%20%28CX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 60.2 GiB, 2018-03-25 09:01, 0, 0, 1512
[SOFCJ-Raws] Dragon Ball Kai (2014) (THK-NST 1280x720 x264 AAC), https://nyaa.si/download/706129.torrent, magnet:?xt=urn:btih:078c893b55d2b2d8c5b83f4fc62fcbab1408f407&amp;dn=%5BSOFCJ-Raws%5D%20Dragon%20Ball%20Kai%20%282014%29%20%28THK-NST%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 35.6 GiB, 2015-06-28 13:37, 1, 1, 506
[SOFCJ-Raws] Pocket Monsters XY&amp;Z 01-49 END (1280x720 x264 AAC), https://nyaa.si/download/869393.torrent, magnet:?xt=urn:btih:31b846fac993b6453d465e6fcfecd9d521463062&amp;dn=%5BSOFCJ-Raws%5D%20Pocket%20Monsters%20XY%26Z%2001-49%20END%20%281280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 27.9 GiB, 2016-11-11 01:41, 1, 1, 198
[SOFCJ-Raws] Pocket Monsters XY (TVA 1280x720 x264 AAC), https://nyaa.si/download/749000.torrent, magnet:?xt=urn:btih:c60f1576b02c1ab24b97a6104ef4697be709d020&amp;dn=%5BSOFCJ-Raws%5D%20Pocket%20Monsters%20XY%20%28TVA%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 58.8 GiB, 2015-10-25 13:15, 0, 2, 121
[SOFCJ-Raws] One Piece 580-630 (1280x720 x264 AAC), https://nyaa.si/download/516873.torrent, magnet:?xt=urn:btih:6c624bc66ced3b6ac0fc3f0ff5e392747081fb1a&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20580-630%20%281280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 25.4 GiB, 2014-01-27 06:16, 0, 2, 94
[SOFCJ-Raws] Vampire Holmes (TVK 1280x720 x264 AAC), https://nyaa.si/download/702916.torrent, magnet:?xt=urn:btih:cd6d3d0bfa764a56ec66eb50d3580a4b4074c222&amp;dn=%5BSOFCJ-Raws%5D%20Vampire%20Holmes%20%28TVK%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 568.0 MiB, 2015-06-19 15:12, 1, 0, 54
[SOFCJ-Raws] One Piece - 801~820 (CX-THK 1280x720 x264 AAC)[Batch], https://nyaa.si/download/1220472.torrent, magnet:?xt=urn:btih:4548d1dd974c829cab18b24d3e602d8191fb91c3&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20-%20801~820%20%28CX-THK%201280x720%20x264%20AAC%29%5BBatch%5D&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 6.9 GiB, 2020-02-13 16:33, 0, 0, 37
