Name, Torrent, Magnet, Size, Date, Up, Donw, Overall
[Shark-Raws] Blend S #01 - 12 END (BS11 1280x720 x264 AAC), https://nyaa.si/download/990481.torrent, magnet:?xt=urn:btih:f452b29b8eac93c19339eab9bdeae5dae391ce60&dn=%5BShark-Raws%5D%20Blend%20S%20%2301%20-%2012%20END%20%28BS11%201280x720%20x264%20AAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 3.7 GiB, 2017-12-24 05:39, 0, 0, 477
[Shark-Raws] Love Live! Sunshine!! S2 #01 - 13 END (BS11 1280x720 x264 AAC), https://nyaa.si/download/992347.torrent, magnet:?xt=urn:btih:77c267166be821b1f19beefaa4bc699e41e6c599&dn=%5BShark-Raws%5D%20Love%20Live%21%20Sunshine%21%21%20S2%20%2301%20-%2013%20END%20%28BS11%201280x720%20x264%20AAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 5.1 GiB, 2017-12-31 03:45, 0, 0, 213
[Shark-Raws] Imouto sae Ireba Ii. #01 - 12 END (SUN+BS11 1280x720 x264 AAC), https://nyaa.si/download/991148.torrent, magnet:?xt=urn:btih:cefeedfa35534b891aeb85ad0940628293491d92&dn=%5BShark-Raws%5D%20Imouto%20sae%20Ireba%20Ii.%20%2301%20-%2012%20END%20%28SUN%2BBS11%201280x720%20x264%20AAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 3.2 GiB, 2017-12-26 04:30, 0, 0, 197
[Shark-Raws] Shokugeki no Souma - San no Sara #01 - 12 END (BS11 1280x720 x264 AAC), https://nyaa.si/download/989528.torrent, magnet:?xt=urn:btih:e52ac9e3b8f9cda719feeb32ad0097dd9fd4004f&dn=%5BShark-Raws%5D%20Shokugeki%20no%20Souma%20-%20San%20no%20Sara%20%2301%20-%2012%20END%20%28BS11%201280x720%20x264%20AAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 5.3 GiB, 2017-12-21 05:25, 0, 0, 172
[Shark-Raws] Kino no Tabi - The Beautiful World - The Animated Series #01 - 12 END (BS11 1280x720 x264 AAC), https://nyaa.si/download/990045.torrent, magnet:?xt=urn:btih:8ed01b7a3440e0f4079ce9315a9c0b0d95759d85&dn=%5BShark-Raws%5D%20Kino%20no%20Tabi%20-%20The%20Beautiful%20World%20-%20The%20Animated%20Series%20%2301%20-%2012%20END%20%28BS11%201280x720%20x264%20AAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 3.8 GiB, 2017-12-23 08:25, 0, 0, 162
[Shark-Raws] Shoujo Shuumatsu Ryokou #01 - 12 END (BS11 1280x720 x264 AAC), https://nyaa.si/download/990042.torrent, magnet:?xt=urn:btih:0f6a1dd4cdd12273327b877ae4afd36b5ced1e71&dn=%5BShark-Raws%5D%20Shoujo%20Shuumatsu%20Ryokou%20%2301%20-%2012%20END%20%28BS11%201280x720%20x264%20AAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 4.2 GiB, 2017-12-23 08:11, 0, 0, 134
[Shark-Raws] UQ Holder! - Mahou Sensei Negima! 2 #01 - 12 END (BS11 1280x720 x264 AAC), https://nyaa.si/download/988987.torrent, magnet:?xt=urn:btih:e93cef1f75f17a7a715c25ba3da7aac66e87624a&dn=%5BShark-Raws%5D%20UQ%20Holder%21%20-%20Mahou%20Sensei%20Negima%21%202%20%2301%20-%2012%20END%20%28BS11%201280x720%20x264%20AAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 4.6 GiB, 2017-12-19 04:42, 0, 4, 133
[Shark-Raws] Himouto! Umaru-chan R #01 - 12 END (BS11+ABC 1280x720 x264 AAC), https://nyaa.si/download/991147.torrent, magnet:?xt=urn:btih:d2f4ee265e09469e85442b5fc09943814eecb5ae&dn=%5BShark-Raws%5D%20Himouto%21%20Umaru-chan%20R%20%2301%20-%2012%20END%20%28BS11%2BABC%201280x720%20x264%20AAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 3.8 GiB, 2017-12-26 04:27, 0, 1, 126
[Shark-Raws] Konohana Kitan #01 - 12 END (BS11 1280x720 x264 AAC), https://nyaa.si/download/990041.torrent, magnet:?xt=urn:btih:ffb330162fd063252afc5d0f49b330870848f056&dn=%5BShark-Raws%5D%20Konohana%20Kitan%20%2301%20-%2012%20END%20%28BS11%201280x720%20x264%20AAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 4.3 GiB, 2017-12-23 08:09, 0, 0, 106
[Shark-Raws] Itsudatte Bokura no Koi wa 10 Centi Datta. #01 - 06 END (BS11 1280x720 x264 AAC), https://nyaa.si/download/992349.torrent, magnet:?xt=urn:btih:385f7c0a75319bb8f7ec5a289a14341f2561c662&dn=%5BShark-Raws%5D%20Itsudatte%20Bokura%20no%20Koi%20wa%2010%20Centi%20Datta.%20%2301%20-%2006%20END%20%28BS11%201280x720%20x264%20AAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 1.8 GiB, 2017-12-31 03:48, 0, 0, 102
